ROI 1,ROI 2,Strength,x1,y1,z1,x2,y2,z2
'Postcentral_L','Temporal_Inf_L',0.09424424916505814,-57.18579235,-7.032786885,27.77595628,-52.84615385,-60.84615385,-11.17307692
'Thalamus_L','Frontal_Inf_Oper_R',0.08352862298488617,-16.41304348,-30.63043478,8.5,39.55813953,8.581395349,29.25581395
'Frontal_Sup_Orb_L','Temporal_Inf_R',0.08060085028409958,-8.112781955,40.35338346,-28.92481203,50.92820513,-64.22051282,-11.43076923
'Caudate_R','Temporal_Inf_L',0.06368184089660645,15.97297297,-6.945945946,19.67567568,-52.84615385,-60.84615385,-11.17307692
'Insula_R','Temporal_Inf_L',0.05919134244322777,35.83597884,20.05820106,0.64021164,-52.84615385,-60.84615385,-11.17307692
'Vermis_4_5','Midbrain',0.04938716068863869,1.574358974,-49.32820513,6.169230769,0.051162791,-23.79069767,-11.81860465
'Temporal_Mid_R','Insula_R',0.04632362723350525,70.73809524,-30.26190476,-1.785714286,35.83597884,20.05820106,0.64021164
'Frontal_Mid_R','Fusiform_L',0.03902089223265648,42.04878049,50.0,3.536585366,-28.28070175,-43.98245614,-12.03508772
'Frontal_Mid_R','Temporal_Inf_L',0.03702910616993904,42.04878049,50.0,3.536585366,-52.84615385,-60.84615385,-11.17307692
'SupraMarginal_R','Vermis_1_2',0.03652637451887131,62.81176471,-45.25882353,33.37647059,-1.588235294,-42.73755656,-22.94570136
